loss=315.7988, Monte Carlo price=9.4122, predicted=0.7730
loss=280.5898, Monte Carlo price=8.8740, predicted=0.7617
loss=297.5770, Monte Carlo price=9.3286, predicted=0.7832
loss=289.6803, Monte Carlo price=9.3828, predicted=0.7997
loss=281.3917, Monte Carlo price=9.3546, predicted=0.8107
loss=262.0740, Monte Carlo price=8.8257, predicted=0.8190
loss=283.1481, Monte Carlo price=9.3643, predicted=0.8794
loss=315.4787, Monte Carlo price=8.9658, predicted=0.7118
loss=295.0264, Monte Carlo price=8.8134, predicted=0.7358
loss=316.5149, Monte Carlo price=9.3667, predicted=0.7558
loss=315.7988, Monte Carlo price=9.4122, predicted=0.7730
loss=280.5898, Monte Carlo price=8.8740, predicted=0.7617
loss=297.5770, Monte Carlo price=9.3286, predicted=0.7832
loss=289.6803, Monte Carlo price=9.3828, predicted=0.7997
loss=281.3917, Monte Carlo price=9.3546, predicted=0.8107
loss=262.0740, Monte Carlo price=8.8257, predicted=0.8190
loss=283.1481, Monte Carlo price=9.3643, predicted=0.8794
loss=321.6363, Monte Carlo price=8.9489, predicted=0.7104
loss=316.2415, Monte Carlo price=9.1299, predicted=0.7368
loss=298.4658, Monte Carlo price=9.1582, predicted=0.7280
loss=296.4170, Monte Carlo price=9.1452, predicted=0.7433
loss=293.6203, Monte Carlo price=9.0720, predicted=0.7521
loss=279.9137, Monte Carlo price=9.1507, predicted=0.7580
loss=273.1447, Monte Carlo price=8.9624, predicted=0.7643
loss=265.5883, Monte Carlo price=9.0615, predicted=0.7721
loss=276.3524, Monte Carlo price=9.2077, predicted=0.7800
loss=261.1242, Monte Carlo price=9.0405, predicted=0.7860
loss=295.9344, Monte Carlo price=8.6936, predicted=0.7214
loss=297.8115, Monte Carlo price=9.0115, predicted=0.7420
loss=290.9114, Monte Carlo price=8.9386, predicted=0.7593
loss=311.8923, Monte Carlo price=9.0622, predicted=0.7724
loss=306.2032, Monte Carlo price=9.3357, predicted=0.7848
loss=274.9513, Monte Carlo price=9.0338, predicted=0.7986
loss=260.4987, Monte Carlo price=8.7873, predicted=0.8143
loss=249.5596, Monte Carlo price=8.6094, predicted=0.8294
loss=256.8245, Monte Carlo price=9.0166, predicted=0.8412
loss=253.6551, Monte Carlo price=8.9694, predicted=0.8519
loss=242.8262, Monte Carlo price=8.8798, predicted=0.8628
loss=234.7443, Monte Carlo price=8.9633, predicted=0.8275
loss=237.8079, Monte Carlo price=9.1544, predicted=0.8383
loss=224.8584, Monte Carlo price=8.7937, predicted=0.8481
loss=219.5361, Monte Carlo price=8.8553, predicted=0.8559
loss=216.2969, Monte Carlo price=8.8973, predicted=0.8643
loss=215.0354, Monte Carlo price=8.7688, predicted=0.8730
loss=219.3497, Monte Carlo price=8.9029, predicted=0.8836
loss=216.5289, Monte Carlo price=9.1733, predicted=0.8945
loss=225.1900, Monte Carlo price=9.3736, predicted=0.9063
loss=203.9337, Monte Carlo price=9.1026, predicted=0.9195
loss=201.0811, Monte Carlo price=8.8340, predicted=0.9333
loss=200.6743, Monte Carlo price=8.9484, predicted=0.9480
loss=189.9374, Monte Carlo price=8.5980, predicted=0.9628
loss=184.6492, Monte Carlo price=8.6675, predicted=0.9782
loss=198.5560, Monte Carlo price=8.9815, predicted=0.9951
loss=190.3752, Monte Carlo price=8.9344, predicted=1.0121
loss=194.9790, Monte Carlo price=8.9596, predicted=1.0306
loss=180.5925, Monte Carlo price=8.9434, predicted=1.0497
loss=188.1447, Monte Carlo price=8.8537, predicted=1.0709
loss=175.8126, Monte Carlo price=8.5398, predicted=1.0921
loss=177.7375, Monte Carlo price=8.7445, predicted=1.1130
loss=176.7574, Monte Carlo price=8.8660, predicted=1.1347
loss=175.8385, Monte Carlo price=9.1762, predicted=1.1568
loss=171.2775, Monte Carlo price=9.0387, predicted=1.1799
loss=159.8150, Monte Carlo price=8.6865, predicted=1.2035
loss=154.9652, Monte Carlo price=8.8987, predicted=1.2274
loss=156.3920, Monte Carlo price=8.8613, predicted=1.2524
loss=155.5557, Monte Carlo price=8.8475, predicted=1.2782
loss=153.6779, Monte Carlo price=8.8990, predicted=1.3048
loss=153.5452, Monte Carlo price=9.0824, predicted=1.3324
loss=141.2712, Monte Carlo price=8.6990, predicted=1.3610
loss=139.9608, Monte Carlo price=9.1172, predicted=1.3904
loss=147.3289, Monte Carlo price=9.1015, predicted=1.4200
loss=138.8981, Monte Carlo price=8.9405, predicted=1.4501
loss=140.0038, Monte Carlo price=9.1017, predicted=1.4812
loss=130.8480, Monte Carlo price=8.7813, predicted=1.5134
loss=128.7436, Monte Carlo price=8.7910, predicted=1.5459
loss=133.3294, Monte Carlo price=8.8852, predicted=1.5782
loss=134.2616, Monte Carlo price=9.1462, predicted=1.6122
loss=123.6461, Monte Carlo price=8.8390, predicted=1.6468
loss=124.4812, Monte Carlo price=8.7833, predicted=1.6816
loss=109.3395, Monte Carlo price=9.1667, predicted=1.7167
loss=125.4898, Monte Carlo price=9.3045, predicted=1.7530
loss=116.9646, Monte Carlo price=8.7606, predicted=1.7905
loss=112.8282, Monte Carlo price=8.7564, predicted=1.8282
