loss=417.2578, Monte Carlo price=16.6524, predicted=2.2059
loss=408.7025, Monte Carlo price=16.6509, predicted=2.2379
loss=407.8391, Monte Carlo price=16.7560, predicted=2.2703
loss=405.4370, Monte Carlo price=16.7810, predicted=2.3034
loss=385.1998, Monte Carlo price=16.6667, predicted=2.3366
loss=394.7814, Monte Carlo price=16.9104, predicted=2.3700
loss=379.2077, Monte Carlo price=16.5603, predicted=2.4038
loss=382.6476, Monte Carlo price=16.9094, predicted=2.4377
loss=379.5563, Monte Carlo price=16.6963, predicted=2.4724
loss=370.9315, Monte Carlo price=16.6454, predicted=2.5069
loss=365.5266, Monte Carlo price=16.6994, predicted=2.5418
loss=369.9533, Monte Carlo price=17.0843, predicted=2.5771
loss=359.2048, Monte Carlo price=16.5876, predicted=2.6127
loss=342.6151, Monte Carlo price=16.2998, predicted=2.6488
loss=345.3831, Monte Carlo price=16.9265, predicted=2.6850
loss=334.5554, Monte Carlo price=16.2191, predicted=2.7213
loss=332.2744, Monte Carlo price=16.7369, predicted=2.7579
